exp,trial,num_pat,algo,fmeasure,precision,recall,time
0,0,2,gra,0.7131979695431473,1.0,0.5542406311637081,14.65438325703144
0,0,2,ga,0.9880239520958084,1.0,0.9763313609467456,10.210458245128393
0,0,2,bnb,0.7788461538461539,0.9969230769230769,0.6390532544378699,20.457617305219173
0,0,2,decaf,0.6361406377759607,0.5432960893854749,0.7672583826429981,0.3380686193704605
0,0,2,kmeans,0.6958762886597938,1.0,0.5335968379446641,1.4702069908380508
0,0,2,hierarchical,0.6958762886597938,1.0,0.5335968379446641,1.2065100818872452
1,0,2,gra,0.9308176100628931,1.0,0.8705882352941177,14.797077886760235
1,0,2,ga,0.9980353634577603,1.0,0.996078431372549,9.63925115391612
1,0,2,bnb,0.7006369426751593,1.0,0.5392156862745098,24.441822040826082
1,0,2,decaf,0.6245847176079734,0.5417867435158501,0.7372549019607844,0.3249181769788265
1,0,2,kmeans,0.8595600676818951,0.7537091988130564,1.0,1.499040175229311
1,0,2,hierarchical,0.8595600676818951,0.7537091988130564,1.0,1.160580351948738
2,0,2,gra,0.7322540473225405,0.9966101694915255,0.5787401574803149,13.868042562156916
2,0,2,ga,0.9372384937238494,1.0,0.8818897637795275,10.579580705612898
2,0,2,bnb,0.5856777493606139,0.8357664233576643,0.4507874015748031,26.26354978978634
2,0,2,decaf,0.6856403622250969,1.0,0.5216535433070866,0.3233863562345505
2,0,2,kmeans,0.7033248081841432,0.9963768115942029,0.5434782608695652,1.3373552151024342
2,0,2,hierarchical,0.7033248081841432,0.9963768115942029,0.5434782608695652,1.1345090344548225
3,0,2,gra,1.0,1.0,1.0,28.464395210146904
3,0,2,ga,0.9653061224489795,1.0,0.9329388560157791,17.79607344791293
3,0,2,bnb,0.7131979695431473,1.0,0.5542406311637081,48.841856215149164
3,0,2,decaf,0.7569169960474308,0.7584158415841584,0.7554240631163708,0.3133302517235279
3,0,2,kmeans,0.8649572649572649,0.7620481927710844,1.0,1.3358766436576843
3,0,2,hierarchical,0.8649572649572649,0.7620481927710844,1.0,1.2926089018583298
4,0,2,gra,0.9862745098039216,0.9862745098039216,0.9862745098039216,13.15400829911232
4,0,2,ga,0.9473684210526316,1.0,0.9,10.190016239881516
4,0,2,bnb,0.7957746478873239,0.9912280701754386,0.6647058823529411,15.737978644669056
4,0,2,decaf,0.34120734908136485,0.5158730158730159,0.2549019607843137,0.5409670062363148
4,0,2,kmeans,0.6727509778357236,1.0,0.5068762278978389,1.333812192082405
4,0,2,hierarchical,0.6727509778357236,1.0,0.5068762278978389,1.1521397717297077
5,0,2,gra,0.7265917602996255,1.0,0.5705882352941176,10.411245852708817
5,0,2,ga,0.9769307923771313,1.0,0.9549019607843138,6.027099572122097
5,0,2,bnb,0.7636363636363637,1.0,0.6176470588235294,8.248743865638971
5,0,2,decaf,0.7987470634299139,0.6649282920469362,1.0,0.2980295494198799
5,0,2,kmeans,0.6898326898326899,1.0,0.5265225933202358,1.4509835094213486
5,0,2,hierarchical,0.6898326898326899,1.0,0.5265225933202358,1.0718102268874645
6,0,2,gra,0.7955689828801611,0.8178053830227743,0.7745098039215687,13.20461805909872
6,0,2,ga,0.9771144278606965,0.9919191919191919,0.9627450980392157,6.059939045459032
6,0,2,bnb,0.7985865724381626,1.0,0.6647058823529411,8.305066540837288
6,0,2,decaf,0.5235294117647059,0.5235294117647059,0.5235294117647059,0.29957109317183495
6,0,2,kmeans,0.6873385012919896,1.0,0.5236220472440944,1.305378645658493
6,0,2,hierarchical,0.6873385012919896,1.0,0.5236220472440944,1.1124159954488277
7,0,2,gra,0.9085037674919269,1.0,0.8323471400394478,12.85075730830431
7,0,2,ga,0.9980237154150198,1.0,0.9960552268244576,9.840507347136736
7,0,2,bnb,0.9178228388473854,1.0,0.8481262327416174,26.192889865487814
7,0,2,decaf,0.8034865293185419,0.671523178807947,1.0,0.3186073526740074
7,0,2,kmeans,0.6975546975546976,1.0,0.5355731225296443,1.405077274888754
7,0,2,hierarchical,0.6975546975546976,1.0,0.5355731225296443,1.1148297265172005
8,0,2,gra,0.7527675276752768,1.0,0.6035502958579881,11.5494015365839
8,0,2,ga,0.9870129870129869,1.0,0.9743589743589743,5.944042470306158
8,0,2,bnb,0.7527675276752768,1.0,0.6035502958579881,6.95004478096962
8,0,2,decaf,0.8388571428571429,0.9972826086956522,0.7238658777120316,0.3114181384444237
8,0,2,kmeans,0.9805447470817121,0.9618320610687023,1.0,1.4049482569098473
8,0,2,hierarchical,0.9805447470817121,0.9618320610687023,1.0,1.0988594442605972
9,0,2,gra,0.9990147783251232,0.9980314960629921,1.0,14.432352397590876
9,0,2,ga,0.9141104294478528,0.9490445859872612,0.8816568047337278,10.573606166988611
9,0,2,bnb,0.6623376623376624,0.9695817490494296,0.5029585798816568,18.830448307096958
9,0,2,decaf,0.6021978021978022,0.6799007444168734,0.5404339250493096,0.3188863471150398
9,0,2,kmeans,0.7025641025641025,1.0,0.541501976284585,1.37578596919775
9,0,2,hierarchical,0.7025641025641025,1.0,0.541501976284585,1.1711344830691814
10,0,2,gra,0.8242009132420092,0.9863387978142076,0.707843137254902,15.926800210028887
10,0,2,ga,1.0,1.0,1.0,9.704331021755934
10,0,2,bnb,0.8616071428571428,1.0,0.7568627450980392,20.08231906220317
10,0,2,decaf,0.5235294117647059,0.5235294117647059,0.5235294117647059,0.3156273104250431
10,0,2,kmeans,0.6847545219638242,1.0,0.5206286836935167,1.2849481366574764
10,0,2,hierarchical,0.6847545219638242,1.0,0.5206286836935167,1.1507434472441673
11,0,2,gra,0.9177215189873417,1.0,0.847953216374269,12.082436185330153
11,0,2,ga,0.8504464285714286,0.9947780678851175,0.7426900584795322,5.680235031992197
11,0,2,bnb,0.6259946949602122,0.979253112033195,0.4600389863547758,9.360191963613033
11,0,2,decaf,0.6896551724137931,1.0,0.5263157894736842,0.2954205125570297
11,0,2,kmeans,0.7087011349306431,1.0,0.548828125,1.388905756175518
11,0,2,hierarchical,0.7087011349306431,1.0,0.548828125,1.1412286274135113
12,0,2,gra,0.9667673716012084,1.0,0.935672514619883,12.288278263062239
12,0,2,ga,0.518888096935139,0.40898876404494383,0.7095516569200779,6.1510600335896015
12,0,2,bnb,0.5142207053469852,0.6174863387978142,0.4405458089668616,8.424892783164978
12,0,2,decaf,0.9501525940996949,0.9936170212765958,0.9103313840155945,0.32179128006100655
12,0,2,kmeans,0.858085808580858,0.982367758186398,0.76171875,1.4054002091288567
12,0,2,hierarchical,0.6735751295336787,1.0,0.5078125,1.1008616462349892
13,0,2,gra,1.0,1.0,1.0,14.984518736600876
13,0,2,ga,0.9524793388429752,1.0,0.9092702169625246,17.882561448961496
13,0,2,bnb,0.7533742331288343,0.9967532467532467,0.6055226824457594,54.982675570994616
13,0,2,decaf,0.569247546346783,0.6365853658536585,0.514792899408284,0.3348812572658062
13,0,2,kmeans,0.6805736636245111,1.0,0.5158102766798419,1.3864962197840214
13,0,2,hierarchical,0.6805736636245111,1.0,0.5158102766798419,1.1291284784674644
14,0,2,gra,0.8851815505397449,0.880859375,0.8895463510848126,21.11236772686243
14,0,2,ga,0.9829488465396189,1.0,0.9664694280078896,10.17429655045271
14,0,2,bnb,0.8042452830188679,1.0,0.6725838264299803,18.58626251667738
14,0,2,decaf,0.6597040905134901,0.5903426791277259,0.747534516765286,0.30712011456489563
14,0,2,kmeans,0.6891191709844559,1.0,0.525691699604743,1.3232096023857594
14,0,2,hierarchical,0.6891191709844559,1.0,0.525691699604743,1.1784598082304
15,0,2,gra,0.6767895878524945,0.7518072289156627,0.6153846153846154,12.087088398635387
15,0,2,ga,0.5207100591715976,0.5207100591715976,0.5207100591715976,3.8638491183519363
15,0,2,bnb,0.347941567065073,0.532520325203252,0.2583826429980276,4.546038035303354
15,0,2,decaf,0.5207100591715976,0.5207100591715976,0.5207100591715976,0.3015471622347832
15,0,2,kmeans,0.5118577075098815,0.5118577075098815,0.5118577075098815,1.3057349361479282
15,0,2,hierarchical,0.5118577075098815,0.5118577075098815,0.5118577075098815,1.1607543490827084
16,0,2,gra,0.8081896551724137,0.8971291866028708,0.7352941176470589,14.350983753800392
16,0,2,ga,0.941908713692946,1.0,0.8901960784313725,18.309144135564566
16,0,2,bnb,0.7933701657458563,0.9088607594936708,0.703921568627451,55.855509251356125
16,0,2,decaf,0.7705382436260624,0.7431693989071039,0.8,0.3175581395626068
16,0,2,kmeans,0.6898326898326899,1.0,0.5265225933202358,1.3385806195437908
16,0,2,hierarchical,0.6898326898326899,1.0,0.5265225933202358,1.1700362004339695
17,0,2,gra,0.9990262901655307,0.9980544747081712,1.0,17.223022859543562
17,0,2,ga,0.8374291115311909,0.8128440366972477,0.8635477582846004,18.396861273795366
17,0,2,bnb,0.9369183040330921,0.9977973568281938,0.8830409356725146,54.257905658334494
17,0,2,decaf,0.7898383371824481,0.6526717557251909,1.0,0.3109098710119724
17,0,2,kmeans,0.6838046272493573,1.0,0.51953125,1.4375275298953056
17,0,2,hierarchical,0.6838046272493573,1.0,0.51953125,1.1191878616809845
18,0,2,gra,0.8823529411764706,1.0,0.7894736842105263,17.22737465798855
