exp,trial,num_pat,algo,fmeasure,precision,recall,time
0,0,2,gra,0.9444668008048289,0.9929288045449051,0.9005152378864284,3936.094691287726
0,0,2,ga,0.19268258831819104,0.11964520106598783,0.4946283709712782,4033.750437770039
0,0,2,bnb,0.16979429476436897,0.1020385577370017,0.5053716290287218,4036.1445662118495
0,0,2,decaf,0.681487016626191,0.7888136081879775,0.5998684499013375,4.253055397421122
0,0,2,kmeans,0.8570089662282484,0.9963678628505013,0.7518500246669956,17.161442544311285
0,0,2,hierarchical,0.998850197109067,0.9977030352748154,1.0,2179.629155255854
1,0,2,gra,0.999426119749679,0.9988528977986563,1.0,3084.241640150547
1,0,2,ga,0.5878247676844301,0.9591533605644262,0.42376681614349776,4159.484547391534
1,0,2,bnb,0.9902523556807106,0.9806929100075084,1.0,4163.63393901661
1,0,2,decaf,0.651628355914632,0.9408485599256736,0.49841408727988623,5.253835674375296
1,0,2,kmeans,0.9786186411196447,0.9581324669880528,1.0,7.297150764614344
1,0,2,hierarchical,0.9786186411196447,0.9581324669880528,1.0,161.76620493084192
2,0,2,gra,0.996234241117721,0.9927126386773983,0.9997809179537737,3029.6479717828333
2,0,2,ga,0.8712817412333737,0.9722709485899339,0.7892978420418447,4186.739387799054
2,0,2,bnb,0.9518092951466302,0.9953371592539455,0.9119290174170227,5167.84590369463
2,0,2,decaf,0.6828218694885361,0.9590764962346413,0.5301237813561178,5.081706736236811
2,0,2,kmeans,0.9789276139410188,0.9587249908102715,1.0,7.293709725141525
2,0,2,hierarchical,0.9789276139410188,0.9587249908102715,1.0,152.71905682608485
3,0,2,gra,0.9955090640232214,0.9951275593999781,0.9958908612754767,3058.827433537692
3,0,2,ga,0.4962308852035322,0.4878255346178276,0.504930966469428,4062.72122515738
3,0,2,bnb,0.6692544893887177,0.9904434661226242,0.5053692746000439,4043.9287759028375
3,0,2,decaf,0.7948791397659916,0.6648114702738565,0.9882204689896997,5.7280235812067986
3,0,2,kmeans,0.9805186080881365,0.9620860577937144,0.9996712508903621,5.360856760293245
3,0,2,hierarchical,0.9805186080881365,0.9620860577937144,0.9996712508903621,152.06501826643944
4,0,2,gra,0.9820254274441035,0.9799846877392541,0.9840746842394289,3652.0737602859735
4,0,2,ga,0.917937927406628,0.981071964017991,0.8624382207578254,4280.318134721369
4,0,2,bnb,0.9828872312417727,0.981702640517147,0.9840746842394289,4862.264957305044
4,0,2,decaf,0.4871333262734301,0.4702995603721501,0.5052169137836353,6.507742658257484
4,0,2,kmeans,0.9982447479567769,0.9970415822056649,0.9994508210225712,6.008523926138878
4,0,2,hierarchical,0.9984628053801812,0.9981340211843477,0.9987918062496568,298.3687626309693
5,0,2,gra,0.9971979561562551,0.9997796628842128,0.994629548443665,3025.101054403931
5,0,2,ga,0.9111915448096135,0.9660465401854239,0.8622314774221832,4117.888049572706
